trip10%,trip1%,passenger10%,passenger1%
1502,12281,1242,12281
1503,12482,1250,12396
1517,12483,1252,12440
1553,12835,1256,12441
1554,12836,1267,12498
1563,12926,1282,12519
1564,13242,1300,12668
1566,13243,1313,12681
1569,14231,1328,12703
1580,14232,1355,12817
1581,14294,1383,12963
1669,14343,1387,13108
1728,14452,1389,13206
1729,14453,1393,13367
1736,14596,1403,13484
1737,14597,1422,13524
1738,14619,1428,13605
1752,14645,1438,13671
1753,14655,1439,13763
1789,14656,1464,13814
1790,15090,1466,14039
1794,15091,1482,14114
1828,15779,1488,14202
1845,15823,1491,14220
1854,15824,1500,14250
1869,16376,1507,14403
1878,17243,1519,14423
1879,17244,1526,14577
1913,17247,1557,14608
1921,17248,1561,14722
1922,17328,1601,14745
1928,17388,1602,15139
1932,17389,1611,15175
1933,17653,1612,15381
2037,17654,1615,15627
2038,17794,1625,15635
2040,17795,1637,15674
2041,17905,1645,15861
2049,18077,1646,15874
2050,18078,1649,15970
2081,18186,1656,16153
2082,18187,1658,16222
2083,18381,1675,16239
2092,18382,1713,16282
2093,18560,1714,16317
2094,18654,1715,16385
2105,18936,1729,16464
2170,19087,1747,16509
2171,19088,1782,16515
2172,19102,1785,16621
2173,19847,1786,16762
2174,20035,1797,16768
2175,20036,1798,16847
2195,20098,1806,16880
2196,20111,1807,16892
2202,20112,1822,17052
2203,20125,1845,17081
2228,20126,1850,17171
2258,20135,1859,17384
2259,20136,1862,17454
2262,20424,1863,17598
2300,20425,1869,17667
2301,20914,1880,17728
2302,20926,1899,17793
2303,20927,1928,17823
2304,20935,1956,18028
2315,20936,1960,18052
2316,21139,1976,18187
2336,21140,1990,18229
2337,21218,1995,18286
2356,21301,1999,18376
2357,21302,2009,18494
2371,21303,2013,18808
2372,21356,2022,18903
2377,21357,2040,18935
2378,21454,2044,18941
2389,21455,2068,19155
2390,21812,2072,19183
2413,21813,2084,19306
2414,21847,2089,19512
2415,21848,2127,19598
2416,22034,2136,19743
2423,22035,2139,19775
2424,22117,2153,19963
2430,22118,2159,20101
2450,22252,2162,20123
2451,22270,2178,20141
2479,22271,2183,20238
2480,22367,2196,20285
2506,22368,2210,20316
2507,22827,2220,20319
2513,22828,2224,20428
2525,22853,2232,20585
2526,22854,2234,20638
2527,22905,2237,20653
2540,22906,2252,20705
2541,23189,2253,21013
2550,23555,2262,21014
2551,23556,2267,21062
2563,23972,2272,21204
2564,24203,2276,21297
2618,24204,2287,21333
2619,24222,2292,21337
2622,24223,2298,21384
2627,24234,2328,21400
2628,24235,2329,21526
2660,24309,2336,21595
2661,24310,2356,21637
2707,24475,2364,21769
2724,24476,2370,21917
2740,24502,2377,22036
2741,24503,2393,22343
2764,24504,2431,22536
2765,24730,2435,22668
2770,24896,2469,22863
2771,24897,2473,22989
2798,25284,2480,23238
2809,25446,2482,23266
2815,25605,2488,23449
2816,25606,2499,23580
2817,26045,2510,23776
2818,26046,2525,23794
2819,26319,2528,23808
2832,26532,2538,24106
2833,26533,2540,24130
2839,26534,2553,24211
2840,26535,2555,24288
2852,26659,2559,24366
2853,26660,2576,24371
2894,26684,2584,24971
3012,26685,2590,25037
3021,26779,2591,25052
3022,26780,2598,25086
3028,26923,2606,25165
3029,26924,2615,25370
3033,27140,2627,25481
3034,27141,2632,25561
3076,27142,2634,25602
3102,27290,2638,25883
3103,27291,2653,25892
3116,27332,2655,25915
3117,27426,2656,25952
3165,27665,2678,25980
3166,27666,2683,26056
3188,28122,2688,26073
3229,28123,2707,26080
3230,28351,2714,26099
3231,28352,2724,26114
3243,28473,2736,26238
3244,28501,2751,26322
3245,28502,2767,26326
3246,28632,2777,26471
3247,28837,2784,26595
3248,28838,2803,26663
3251,29262,2811,26732
3262,29467,2817,26746
3263,29468,2840,26881
3288,29506,2844,26910
3289,29507,2847,27083
3306,29772,2863,27163
3319,29773,2890,27168
3320,29861,2914,27172
3329,29866,2917,27192
3341,30067,2930,27249
3342,30068,2944,27603
3350,30420,2953,27608
3351,30421,2954,27612
3355,30511,2963,27651
3356,30827,2969,27785
3365,30828,2971,27869
3366,31816,2974,27902
3375,31817,2996,28307
3376,31879,3000,28423
3377,31928,3007,28467
3414,32037,3008,28476
3415,32038,3056,28502
3431,32181,3073,28556
3432,32182,3093,28916
3440,32204,3099,28958
3441,32230,3110,28968
3448,32240,3112,29184
3449,32241,3128,29204
3460,32675,3129,29215
3461,32676,3146,29224
3491,33364,3158,29306
3492,33408,3160,29424
3497,33409,3167,29489
3498,33961,3184,29510
3524,34828,3197,29633
3525,34829,3230,29648
3530,34832,3247,29774
3531,34833,3253,29865
3534,34913,3269,29874
3548,34973,3281,29928
3549,34974,3288,29978
3550,35187,3297,30073
3554,35341,3303,30081
3555,35342,3321,30263
3561,35351,3355,30333
3562,35352,3370,30384
3610,35480,3372,30668
3611,35481,3378,30699
3612,35641,3393,30764
3615,35693,3402,30964
3623,35694,3434,31044
3624,35782,3457,31104
3633,35783,3469,31152
3652,36061,3477,31243
3672,36062,3500,31261
3673,36209,3505,31361
3685,36210,3507,31472
3686,36409,3516,31584
3703,36415,3518,31655
3704,36468,3521,31837
3716,36469,3523,31909
3717,36549,3527,31963
3718,36550,3552,32053
3721,36551,3559,32139
3722,36684,3573,32340
3731,36685,3576,32387
3740,36903,3589,32525
3747,36904,3597,32594
3748,36905,3600,32626
3771,36973,3627,32766
3772,36974,3634,32990
3795,37095,3642,33145
3796,37096,3645,33169
3797,37097,3660,33324
3812,37098,3681,33381
3813,37142,3685,33440
3829,37517,3690,33452
3830,37518,3691,33699
3864,37546,3704,33840
3869,37547,3715,33848
3870,37645,3722,34075
3902,37938,3732,34141
3909,37939,3746,34160
3910,38672,3756,34246
3911,38673,3778,34276
3927,38922,3787,34320
3928,38923,3815,34342
3933,38954,3818,34376
3934,38955,3852,34406
3974,38962,3871,34412
3975,38963,3872,34455
3985,39039,3878,34482
3986,39040,3893,34706
4050,39081,3905,34716
4074,39082,3913,34770
4078,39093,3916,34795
4079,39094,3917,34849
4080,39180,3919,34923
4081,39277,3938,34950
4097,39278,3939,34965
4098,39798,3984,35204
4108,39833,4005,35250
4109,39984,4011,35266
4139,39985,4018,35277
4140,40359,4035,35349
4163,40556,4036,35635
4164,40557,4037,35969
4182,40657,4041,36049
4183,40658,4053,36071
4205,40893,4060,36098
4206,40894,4072,36223
4227,40895,4093,36351
4228,41045,4095,36368
4243,41188,4099,36441
4244,41224,4110,36597
4262,41649,4113,36670
4263,41650,4119,36779
4274,41662,4126,36950
4287,41663,4132,37130
4288,41715,4162,37133
4306,42354,4165,37394
4307,42355,4173,37444
4320,42356,4176,37985
4321,42444,4181,38160
4351,42445,4195,38168
4364,42524,4199,38322
4365,42525,4214,38346
4371,42609,4232,38366
4372,42616,4252,38383
4377,42617,4258,38498
4392,42618,4259,38511
4393,42619,4265,38590
4419,43005,4266,38600
4420,43006,4269,38702
4427,43355,4286,38784
4428,43356,4291,38925
4446,43357,4305,38944
4447,43824,4306,38999
4449,43825,4326,39017
4450,43848,4329,39157
4459,43849,4354,39178
4460,43953,4356,39228
4475,43954,4364,39537
4478,43987,4377,39710
4479,43988,4381,39925
4480,44182,4384,40057
4481,44205,4387,40221
4494,44206,4399,40267
4495,44212,4403,40446
4500,44321,4412,40461
4532,44322,4423,40582
4533,45231,4429,40680
4560,45394,4445,40700
4590,45395,4459,40731
4645,45415,4478,40739
4646,46021,4486,40757
4647,46022,4489,40928
4652,46450,4501,40953
4653,46486,4512,41036
4654,46487,4534,41116
4667,46592,4548,41178
4673,46593,4556,41222
4674,46720,4563,41241
4677,46787,4570,41444
4678,46788,4577,41563
4685,46826,4584,41672
4686,46827,4592,41704
4751,46982,4617,41715
4752,46983,4628,41835
4755,47061,4630,41871
4756,47062,4632,41882
4765,47255,4638,42019
4782,47256,4640,42115
4783,47510,4675,42159
4847,47511,4687,42172
4870,47787,4689,42186
4871,47805,4703,42252
4890,48047,4713,42276
4891,48048,4724,42286
4907,48173,4725,42348
4908,48279,4745,42401
4920,48364,4753,42500
4921,48365,4755,42552
4922,48570,4757,42752
4979,48571,4758,42794
5005,48572,4762,42816
5006,48573,4785,42995
5007,48592,4812,43008
5050,48593,4822,43184
5051,48617,4830,43253
5060,48618,4838,43265
5061,48708,4852,43333
5066,48709,4856,43352
5077,48860,4860,43361
5078,48861,4873,43804
5090,49064,4894,43854
5146,49065,4898,43940
5147,49070,4911,44040
5148,49071,4913,44189
5161,49357,4938,44215
5162,49358,4966,44241
5180,49658,4973,44395
5187,49659,4975,44493
5188,49891,4990,44617
5204,49892,4991,44779
5205,49900,5004,44790
5242,49901,5013,44924
5243,49902,5024,45129
5248,49903,5025,45179
5249,50011,5043,45190
5250,50090,5053,45246
5268,50091,5057,45278
5269,50278,5070,45335
5281,50279,5107,45353
5282,50484,5121,45379
5320,50485,5124,45465
5321,50942,5132,45633
5327,50943,5134,45706
5328,50947,5165,45786
5333,51325,5173,45863
5334,51326,5183,45919
5335,51332,5195,45972
5336,51333,5198,46061
5339,51433,5202,46091
5340,51434,5238,46169
5344,51821,5248,46225
5345,51822,5265,46235
5353,52322,5268,46265
5354,52323,5277,46303
5366,52427,5278,46384
5382,52428,5293,46585
5400,52633,5297,46678
5401,52634,5300,46735
5402,52720,5327,46748
5403,52721,5344,46783
5408,52731,5345,47215
5409,52737,5349,47349
5415,52738,5368,47374
5416,52886,5388,47640
5417,52887,5399,47648
5434,52993,5414,47674
5435,52994,5427,47922
5438,53134,5428,47943
5439,53382,5430,47949
5458,53383,5435,48384
5460,53390,5448,48474
5461,53391,5487,48510
5535,53475,5490,48878
5542,53476,5496,48932
5543,53524,5501,48976
5551,53525,5516,49260
5552,53575,5517,49281
5557,53576,5521,49550
5558,53687,5541,49597
5568,53688,5560,49640
5569,53838,5561,49753
5588,53898,5562,49756
5589,53899,5581,50068
5604,54048,5584,50237
5623,54049,5591,50299
5624,54157,5612,50372
5632,54184,5628,50406
5644,54694,5637,50638
5645,54695,5640,50701
5657,55166,5646,50823
5699,55167,5652,51009
5724,55358,5673,51092
5725,55359,5690,51146
5735,55360,5706,51417
5741,55767,5709,51522
5762,55768,5739,51745
5763,56016,5741,51760
5788,56017,5745,51920
5789,56018,5763,52080
5822,56019,5772,52255
5823,56020,5789,52335
5851,56021,5805,52442
5852,56181,5819,52467
5872,56182,5849,52551
5876,56226,5861,52646
5877,56227,5870,52778
5911,56407,5871,52806
5912,56541,5879,52854
5933,57019,5899,53104
5943,57020,5900,53375
5944,57283,5908,53515
5950,57770,5913,53570
5951,57771,5938,53573
5970,57790,5939,53759
5971,57791,5941,53910
5972,57798,5946,54005
5973,57799,5952,54249
6033,57858,5955,54292
6034,57875,5956,54301
6040,58034,5972,54356
6041,58035,5978,54428
6042,58036,6006,54683
6043,58148,6018,54857
6044,58672,6036,55001
6053,58711,6037,55019
6054,58784,6045,55031
6055,58785,6049,55133
6056,58959,6050,55169
6059,58975,6051,55178
6102,59032,6060,55436
6103,59033,6061,55451
6104,59101,6075,55477
6105,59211,6092,55532
6110,59219,6104,55595
6111,59220,6113,55701
6135,59229,6118,55806
6188,59230,6122,55826
6189,59231,6138,55916
6190,59276,6141,55927
6191,59277,6154,56018
6203,59291,6171,56222
6204,59305,6172,56249
6205,59306,6197,56279
6206,59340,6201,56309
6216,59341,6213,56429
6217,59505,6216,56471
6218,59506,6231,56980
6265,59615,6244,57034
6337,59616,6252,57145
6345,60345,6262,57159
6383,60346,6267,57205
6387,60584,6282,57208
6396,60585,6283,57277
6411,60588,6310,57373
6445,60589,6315,57385
6465,60612,6320,57571
6466,60838,6322,57989
6467,60883,6333,58129
6468,61031,6344,58165
6483,61051,6345,58418
6504,61052,6353,58439
6505,61341,6401,58452
6506,61342,6435,58532
6507,61413,6437,58582
6512,61414,6443,58627
6513,61415,6444,58737
6514,61416,6454,58840
6518,61422,6458,58908
6519,61498,6462,58913
6569,61499,6465,58997
6574,61540,6466,59059
6575,61541,6486,59072
6588,61821,6489,59190
6589,61822,6510,59293
6599,61878,6514,59379
6605,61879,6515,59388
6606,62069,6519,59432
6607,62070,6554,59486
6611,62071,6561,59538
6612,62142,6596,59605
6618,62143,6597,59620
6619,62803,6613,59776
6626,62956,6622,59803
6637,62957,6628,59842
6638,62958,6631,59978
6644,63011,6636,59995
6649,63012,6649,60034
6650,63013,6669,60142
6691,63018,6675,60223
6724,63019,6681,60234
6725,63044,6694,60274
6728,63045,6708,60283
6737,63249,6723,60447
6738,63250,6730,60602
6770,63383,6747,60615
6798,63384,6749,60706
6799,63628,6762,60851
6802,63629,6770,61096
6864,63661,6777,61105
6869,63662,6788,61180
6870,63663,6811,61227
6890,63887,6816,61607
6891,63888,6817,61950
6894,63903,6830,61968
6895,63966,6835,62003
6898,64027,6836,62122
6899,64028,6844,62365
6906,64265,6860,62384
6907,64575,6861,62390
6917,64576,6875,62445
6918,64765,6897,62493
6919,64766,6900,62509
6928,64940,6918,62533
6929,64941,6934,62609
6940,64974,6936,62634
6984,64975,6938,62766
6985,65108,6940,62833
7017,65130,6947,62847
7018,65131,6957,62856
7022,65192,6962,63156
7040,65193,6974,63164
7041,65623,6978,63345
7044,65624,7012,63682
7045,65625,7017,63708
7046,65626,7027,63729
7055,65646,7062,63772
7056,65647,7075,63786
7076,65648,7078,63890
7077,65649,7080,63916
7091,65721,7095,63935
7092,66041,7109,64096
7118,66042,7111,64398
7119,66052,7113,64517
7120,66053,7118,64529
7145,66161,7120,64594
7163,66162,7145,64705
7164,66207,7147,64788
7165,66208,7148,64930
7166,66335,7149,64962
7167,66336,7171,65179
7171,66361,7186,65277
7172,66362,7187,65386
7184,66460,7199,65427
7185,66461,7217,65457
7211,66521,7227,65491
7242,66754,7239,65687
7243,66755,7267,65704
7244,67062,7287,65849
7245,67063,7295,65865
7246,67523,7297,65890
7249,67524,7302,66068
7250,67975,7306,66087
7273,68319,7318,66179
7274,68320,7322,66223
7311,68321,7328,66238
7312,68322,7332,66483
7340,68371,7337,66499
7341,68582,7346,66630
7358,68632,7349,66863
7384,68633,7351,66875
7385,68859,7353,67304
7392,68860,7355,67516
7393,69303,7360,67531
7394,69304,7364,67556
7401,69512,7366,67736
7402,69513,7378,67858
7424,69813,7389,68006
7425,69814,7394,68110
7426,70075,7403,68150
7427,70076,7408,68182
7431,70140,7432,68244
7441,70141,7433,68433
7442,70142,7444,68461
7465,70379,7447,68593
7466,70380,7460,68651
7482,70449,7463,68771
7494,70450,7473,69029
7521,70657,7474,69089
7522,70658,7477,69204
7605,70925,7488,69273
7606,70987,7506,69300
7619,71038,7548,69596
7620,71039,7553,69737
7642,71184,7559,69756
7643,71185,7573,69956
7699,71200,7580,69964
7711,71257,7585,70018
7712,71258,7588,70102
7771,71259,7593,70316
7772,71322,7598,70451
7773,71367,7616,70473
7801,71368,7622,70580
7802,71369,7626,70809
7803,71637,7631,71193
7828,71638,7653,71243
7829,71802,7664,71277
7842,71803,7665,71550
7843,71863,7666,71590
7861,71864,7677,71768
7867,71895,7712,71813
7868,71896,7714,72114
7869,71897,7725,72185
7876,71898,7728,72266
7877,72144,7752,72823
7952,72145,7778,72844
7983,72259,7779,72913
7984,72577,7784,73196
7998,72625,7785,73228
7999,72669,7800,73360
8000,72670,7809,73413
8005,72671,7812,73520
8006,72856,7815,73822
8020,72924,7822,73933
8021,73227,7834,73954
8022,73228,7846,74001
8023,73271,7847,74057
8051,73513,7858,74059
8052,73514,7861,74200
8083,73616,7866,74207
8084,73617,7867,74302
8085,73622,7877,74421
8096,73623,7879,74524
8097,74102,7883,74758
8148,74103,7886,74967
8149,74241,7913,75060
8220,74242,7924,75121
8221,74581,7932,75301
8239,74582,7936,75665
8263,74788,7945,75674
8264,74896,7983,75760
8280,74996,8032,76026
8281,74997,8045,76109
8307,75119,8060,76157
8308,75120,8076,76197
8337,75147,8102,76328
8338,75148,8104,76369
8339,75242,8113,76393
8340,75446,8119,76425
8369,75830,8139,76502
8370,75835,8142,76552
8371,75955,8149,76562
8382,76108,8152,76665
8383,76168,8180,76709
8397,76169,8195,76808
8398,76211,8202,76821
8399,76212,8217,76847
8400,76447,8252,76980
8410,76448,8257,77394
8411,76496,8262,77627
8418,76644,8313,77789
8419,76645,8316,77866
8453,76905,8320,78366
8454,76966,8334,78404
8460,76967,8339,78416
8461,77081,8356,78526
8463,77082,8361,78574
8464,77175,8370,78702
8465,77176,8391,78732
8512,77626,8393,78797
8519,77669,8399,79207
8520,77748,8406,79285
8539,77833,8408,79404
8568,78060,8413,79526
8569,78061,8418,79600
8578,78246,8425,79713
8649,78247,8426,79788
8650,78248,8431,80027
8653,78448,8444,80044
8654,78449,8456,80099
8659,78940,8472,80215
8666,78941,8495,80248
8734,78994,8500,80276
8760,78995,8503,80300
8761,79064,8514,80338
8782,79101,8523,80431
8785,79102,8527,80504
8786,79103,8537,80561
8791,79182,8548,80600
8792,79312,8571,80620
8793,79313,8584,80731
8794,79542,8586,80748
8825,79552,8592,80776
8826,79553,8604,80783
8844,79718,8617,80834
8892,79719,8619,80899
8936,79856,8629,81313
8947,79857,8633,81507
8948,80405,8644,81559
8949,80584,8652,81926
8950,80681,8656,81945
9032,80682,8657,81981
9033,80913,8667,82085
9034,80914,8670,82185
9057,80991,8685,82272
9058,80992,8687,82416
9059,81300,8718,82510
9060,81336,8721,82583
9070,81337,8736,82689
9074,81550,8741,82705
9075,81644,8747,82764
9099,81645,8765,82799
9100,81655,8771,82942
9106,81656,8774,83013
9107,81958,8788,83117
9137,81959,8811,83152
9138,82033,8814,83163
9139,82034,8815,83227
9175,82400,8822,83380
9186,82404,8827,83442
9187,82405,8839,83544
9194,82565,8848,83844
9195,82695,8861,83931
9212,82696,8879,83966
9228,82887,8887,84033
9229,82888,8891,84068
9259,82977,8905,84224
9260,82978,8932,84262
9271,82979,8949,84530
9272,83453,8958,84538
9323,83498,8962,84996
9324,83986,8977,85017
9327,83987,8981,85062
9338,84002,8999,85152
9339,84003,9000,85161
9348,84170,9016,85210
9377,84171,9020,85345
9378,84636,9040,85506
9379,84637,9045,85527
9448,85071,9047,85630
9449,85072,9069,85991
9456,85346,9074,86177
9464,85347,9099,86235
9465,85490,9139,86302
9466,85491,9174,86402
9484,85682,9185,86419
9485,85683,9215,86474
9512,85926,9236,86681
9513,85927,9254,86854
9531,85956,9256,86881
9532,85957,9258,87050
9543,87222,9273,87114
9555,87223,9274,87158
9556,87270,9279,87365
9557,87271,9286,87374
9575,87530,9287,87389
9576,87531,9294,87438
9577,87931,9297,87722
9615,87932,9312,87736
9657,88167,9340,87753
9686,88168,9341,87817
9705,88251,9353,87910
9706,88252,9366,88374
9730,88484,9400,88390
9731,88485,9401,88517
9732,88491,9410,88526
9734,88492,9413,88942
9747,88690,9414,88969
9774,88691,9432,89058
9775,88692,9439,89190
9797,88797,9442,89204
9806,88798,9450,89353
9807,88999,9455,89416
9809,89110,9464,89630
9810,90029,9472,89659
9811,90030,9477,89665
9812,90202,9483,89815
9825,90203,9499,89885
9826,90261,9507,90000
9841,90262,9521,90158
9846,90263,9533,90370
9849,90405,9541,90405
9900,90457,9548,90433
9901,90458,9552,90592
9919,90665,9576,90627
9920,90939,9583,90690
9940,91120,9596,90759
9941,91121,9606,90773
9942,91317,9607,90962
10007,91318,9611,91220
10018,91762,9663,91247
10028,91763,9671,91319
10029,91764,9674,91717
10046,91765,9678,91933
10047,91766,9680,91970
10070,92832,9695,92049
10079,92995,9699,92065
10080,93218,9713,92355
10081,93646,9720,92372
10092,93647,9725,92395
10099,93732,9737,92502
10100,93750,9752,92511
10117,93751,9758,92526
10118,93814,9762,92564
10136,93815,9768,92572
10137,94230,9779,92688
10158,94495,9783,92718
10159,94496,9799,92730
10167,94497,9801,92803
10168,94498,9804,92856
10173,94578,9810,92977
10174,94579,9816,92994
10186,94863,9826,93190
10187,94864,9846,93557
10203,95265,9852,93563
10204,95266,9854,93597
10219,95572,9861,93827
10224,95573,9863,93900
10251,95816,9868,93930
10252,95817,9874,93961
10253,95931,9880,94149
10288,96210,9883,94232
10289,96273,9886,94447
10290,96785,9902,94612
10291,96786,9912,94780
10292,97046,9913,94783
10293,97169,9920,94881
10300,97170,9925,94926
10307,97171,9932,94981
10308,97426,9950,94992
10335,97427,9968,95200
10337,97437,9988,95237
10338,97438,9996,95547
10345,97445,10000,95648
10346,97446,10003,95680
10347,97481,10007,95692
10351,97482,10010,95747
10352,97649,10012,95757
10420,97650,10027,95989
10421,97677,10055,96216
10422,97678,10056,96403
10423,97846,10057,96484
10452,97855,10066,96545
10453,98081,10085,96562
10475,98082,10088,96619
10476,98249,10091,96668
10523,98250,10102,96708
10524,98707,10109,96879
10537,98710,10112,97025
10538,98711,10140,97188
10564,98782,10142,97239
10565,98783,10147,97367
10576,98931,10158,97565
10577,98932,10163,97570
10578,99052,10168,97938
10596,99053,10173,97974
10597,99054,10174,98011
10614,99055,10181,98015
10618,99305,10224,98080
10619,99344,10228,98352
10620,99345,10248,98569
10625,99720,10252,98622
10626,99721,10253,98908
10632,100113,10258,98930
10633,100114,10264,98942
10663,100371,10282,98955
10664,100372,10290,99291
10694,100785,10299,99336
10713,100786,10310,99387
10723,100861,10326,99411
10724,101218,10355,99493
10735,101219,10362,99536
10736,101288,10366,99574
10741,101289,10370,99579
10742,101396,10382,99827
10760,101540,10383,99938
10766,102000,10384,100028
10767,102029,10392,100129
10788,102030,10395,100246
10839,102151,10426,100307
10840,102197,10427,100323
10854,102198,10428,100683
10888,102201,10439,100701
10916,102202,10445,100916
10917,102203,10446,100966
10928,102204,10449,100973
10935,102205,10460,101101
10936,102283,10477,101143
10946,102284,10479,101201
10947,102307,10483,101308
11018,102308,10492,101391
11019,102320,10494,101397
11022,102321,10500,101460
11023,102483,10506,101527
11024,102714,10509,101694
11025,102843,10521,101821
11026,102844,10525,102133
11037,103667,10537,102372
11038,103668,10545,102623
11039,103717,10562,102642
11040,103810,10565,102706
11047,103811,10587,102734
11056,103955,10590,102743
11057,104113,10623,102860
11132,104212,10644,102953
11133,104251,10660,102986
11166,104252,10661,103013
11167,104278,10664,103124
11189,104345,10688,103289
11190,104460,10696,103305
11191,104461,10705,103618
11215,104606,10716,103722
11216,104607,10723,103868
11218,104620,10736,104073
11219,104621,10737,104325
11234,104622,10741,104394
11235,104625,10742,104654
11244,104626,10747,104686
11245,104924,10763,105065
11246,104925,10767,105192
11247,104948,10784,105259
11252,105042,10786,105337
11253,105043,10799,105500
11273,105055,10803,105522
11274,105056,10804,105626
11315,105057,10812,105787
11322,105089,10813,105888
11368,105090,10827,106150
11369,105303,10829,106188
11370,105338,10842,106307
11371,105646,10863,106364
11372,105647,10878,106409
11375,105965,10887,106604
11376,105966,10888,106609
11389,105967,10892,107119
11392,105968,10894,107201
11393,105978,10895,107232
11424,106013,10901,107278
11425,106014,10920,107311
11463,106513,10928,107367
11464,106514,10945,107475
11530,106851,10946,107742
11531,106852,10970,107885
11552,107096,10990,107904
11561,107097,11003,108024
11562,107107,11029,108106
11563,107108,11060,108116
11564,107120,11071,108141
11565,107410,11074,108173
11584,107411,11126,108244
11585,107605,11130,108293
11601,107606,11157,108344
11602,107685,11166,108379
11623,107686,11176,108402
11624,107797,11191,108424
11654,107798,11192,108520
11655,107900,11204,108674
11656,107913,11216,108818
11672,107914,11232,108943
11677,108231,11259,108976
11724,108572,11273,109139
11725,108573,11284,109198
11739,108619,11294,109524
11754,108931,11301,109613
11769,108932,11326,109714
11778,108953,11328,109732
11779,109188,11329,109845
11783,109189,11330,109855
11784,109211,11337,109947
11809,109212,11344,109985
11810,109244,11352,110176
11821,109245,11369,110254
11834,109393,11377,110275
11835,109478,11384,110328
11841,109824,11386,110502
11842,110205,11404,110682
11843,110225,11418,110775
11850,110226,11431,110845
11851,110241,11434,111121
11865,110242,11437,111237
11882,110497,11439,111273
11883,110512,11461,111329
11894,110533,11508,111485
11895,110799,11529,111522
11898,110805,11531,111566
11899,110929,11540,111576
11902,110930,11545,111786
11903,111522,11553,111909
11919,111523,11608,111912
11920,111524,11626,112034
11921,111540,11630,112076
11922,111541,11637,112137
11923,111688,11651,112291
11924,111689,11661,112349
11955,111849,11665,112569
11956,111981,11670,112777
11962,112121,11676,112861
11963,112122,11681,112947
11976,112333,11703,113081
11977,112334,11709,113105
11999,112585,11711,113272
12044,112586,11717,113273
12046,113020,11722,113489
12069,113021,11726,113587
12070,113365,11739,113640
12071,113440,11763,113782
12089,113445,11773,113989
12090,113446,11774,114329
12095,113613,11776,114436
12107,113614,11785,114527
12108,113625,11788,114668
12158,113785,11791,114803
12163,113786,11805,114923
12172,113921,11809,115030
12187,114215,11822,115062
12188,114418,11838,115245
12235,114419,11845,115336
12236,114445,11856,115446
12240,114446,11858,115803
12241,114626,11864,115855
12260,114627,11869,116098
12261,114734,11872,116255
12262,114816,11882,116268
12265,114817,11885,116514
12266,114818,11898,116566
12267,115129,11901,116693
12268,115219,11902,116742
12276,115220,11905,116917
12281,115323,11914,116949
12311,115324,11919,117017
12319,115332,11929,117118
12337,115841,11938,117202
12338,116062,11954,117445
12343,116063,11990,117605
